id,label,avg_time,indegree,outdegree,degree,clustering,triangles,pageranks,eccentricity,closnesscentrality,betweenesscentrality,authority,hub,componentnumber,strongcompnum
57,cluster_57,1.51910582010582010794,6,7,13,0.660714285714286,37,0.0119607060720002,5,0.349753694581281,0.00679197427837561,0.011494253,0.011824325,0,5
149,cluster_149,1.16606117353308363870,3,2,5,1,6,0.00479692326778343,6,0.270992366412214,0,0.0065681445,0.006756757,0,5
87,cluster_87,1.07134701797385621099,7,7,14,0.217948717948718,34,0.0172770067835929,4,0.415204678362573,0.0398149287002679,0.013136289,0.013513514,0,5
0,cluster_0,1.03652421652421652541,10,7,17,0.228571428571429,48,0.0156081449175836,4,0.398876404494382,0.0343972281526237,0.018062398,0.018581081,0,5
91,cluster_91,1.06850809418690213422,2,0,2,0,0,0.00534497993632812,0,0,0,0.0049261083,0,0,4
104,cluster_104,1.02838850174216027743,10,8,18,0.147058823529412,45,0.0239887969801998,4,0.417647058823529,0.0560852205259869,0.018062398,0.018581081,0,5
127,cluster_127,1.03594161958568738154,1,1,2,0,0,0.0038496139741045,1,1,0.00274464086835926,0.0032840723,0.0033783785,0,3
150,cluster_150,1.36495250431778928981,10,13,23,0.736263736263736,134,0.014279661982186,5,0.351485148514851,0.00262510516738457,0.018062398,0.018581081,0,5
16,cluster_16,0.98896464646464646185,5,3,8,0.303571428571429,17,0.00882561967281575,5,0.328703703703704,0.00579904144585509,0.009852217,0.010135135,0,5
137,cluster_137,1.25259795321637426941,11,14,25,0.680952380952381,143,0.0153389231505483,5,0.369791666666667,0.00195103601574672,0.019704433,0.02027027,0,5
115,cluster_115,1.26167032163742689927,2,2,4,0.25,3,0.00543252285384594,5,0.341346153846154,0.00387982581596763,0.0049261083,0.0050675673,0,5
129,cluster_129,1.42375403411710465500,14,11,25,0.4875,117,0.0230863092934888,5,0.373684210526316,0.0330643347002784,0.024630541,0.025337838,0,5
18,cluster_18,1.17726740603820086500,1,6,7,0.233333333333333,7,0.00449776568493771,5,0.323144104803493,0.0155420289818786,0.0032840723,0.0033783785,0,8
123,cluster_123,0.89163473818646232746,4,0,4,0.833333333333333,10,0.00771338228426782,0,0,0,0.00821018,0,0,2
49,cluster_49,1.09826557003931305796,6,9,15,0.209090909090909,23,0.011194082391161,5,0.367875647668394,0.0427124013296894,0.011494253,0.011824325,0,5
106,cluster_106,1.34596385542168674973,11,5,16,0.318181818181818,35,0.0224669331415557,5,0.353233830845771,0.0149799037075011,0.019704433,0.02027027,0,5
96,cluster_96,1.52902777777777777590,6,2,8,0.285714285714286,12,0.012943795329805,5,0.327188940092166,0.00949987090921682,0.011494253,0.011824325,0,5
3,cluster_3,1.02338287037037036974,12,11,23,0.114035087719298,39,0.0270795684265356,5,0.410404624277457,0.0977794406448845,0.02134647,0.02195946,0,5
45,cluster_45,1.58250694444444444806,0,2,2,0,0,0.00223747160971467,6,0.257950530035336,0,0,0.0016891892,0,9
73,cluster_73,0.83386261261261261235,6,12,18,0.195238095238095,41,0.00875284382093986,4,0.440993788819876,0.0419146878926019,0.011494253,0.011824325,0,5
